ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202604-001;21/04/2026;Varejo Total S.A.;PragmaCloud Pro;Software;3;450,00;142,35;2;Parceiros B2B;Pago
PRG-202604-002;24/04/2026;Rede de Farmácias Viva;PragmaCloud Pro;Software;5;450,00;147,66;1;Venda Direta;Pago
PRG-202604-003;17/04/2026;Meta Metais;PragmaCloud Pro;Software;5;450,00;140,97;12;E-commerce;Pago
PRG-202604-004;19/04/2026;Banco Inova S.A.;PragmaCloud Pro;Software;2;450,00;155,94;3;E-commerce;Pago
PRG-202604-005;25/04/2026;Construtora Horizonte;PragmaCloud Pro;Software;1;450,00;146,40;3;E-commerce;Pago
PRG-202604-006;26/04/2026;Indústrias Alfa Ltda;Suporte Técnico Premium;Serviço;1;400,00;131,35;6;Venda Direta;Pago
PRG-202604-007;27/04/2026;Meta Metais;Consultoria de Processos TI;Serviço;1;3200,00;1457,28;1;Parceiros B2B;Pago
PRG-202604-008;10/04/2026;Varejo Total S.A.;PragmaAnalytics Enterprise;Software;1;1250,00;390,41;6;Parceiros B2B;Pendente
PRG-202604-009;06/04/2026;Construtora Horizonte;Consultoria de Processos TI;Serviço;1;3200,00;1447,65;1;Parceiros B2B;Pago
PRG-202604-010;18/04/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;4;1250,00;390,36;12;Venda Direta;Pago
PRG-202604-011;27/04/2026;Indústrias Alfa Ltda;PragmaAnalytics Enterprise;Software;1;1250,00;424,40;6;E-commerce;Pago
PRG-202604-012;30/04/2026;Meta Metais;Consultoria de Processos TI;Serviço;1;3200,00;1443,52;6;Parceiros B2B;Pago
PRG-202604-013;09/04/2026;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;5;1250,00;403,12;12;E-commerce;Pendente
PRG-202604-014;13/04/2026;Construtora Horizonte;PragmaAnalytics Enterprise;Software;2;1250,00;400,76;1;Venda Direta;Pendente
PRG-202604-015;05/04/2026;Tech Soluções Globais;Suporte Técnico Premium;Serviço;1;400,00;117,23;12;E-commerce;Pago
PRG-202604-016;18/04/2026;Indústrias Alfa Ltda;PragmaCloud Pro;Software;5;450,00;157,53;3;Venda Direta;Pago
PRG-202604-017;06/04/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;3;450,00;164,16;2;Parceiros B2B;Pendente
PRG-202604-018;28/04/2026;Banco Inova S.A.;PragmaSecurity Gateway;Software;5;890,00;234,95;3;Venda Direta;Pago
PRG-202604-019;25/04/2026;Rede de Farmácias Viva;PragmaCloud Pro;Software;5;450,00;144,72;1;Venda Direta;Pendente
PRG-202604-020;29/04/2026;Banco Inova S.A.;PragmaAnalytics Enterprise;Software;1;1250,00;379,27;12;Venda Direta;Pago
PRG-202604-021;16/04/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;2;890,00;231,42;6;Parceiros B2B;Pago
PRG-202604-022;17/04/2026;Meta Metais;Suporte Técnico Premium;Serviço;1;400,00;130,29;2;Parceiros B2B;Pago
PRG-202604-023;22/04/2026;Construtora Horizonte;Suporte Técnico Premium;Serviço;2;400,00;110,90;2;Venda Direta;Pago
PRG-202604-024;19/04/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;5;1250,00;377,62;1;Parceiros B2B;Pago
PRG-202604-025;08/04/2026;Varejo Total S.A.;PragmaCloud Pro;Software;3;450,00;137,13;2;E-commerce;Pago
PRG-202604-026;07/04/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;5;1250,00;406,10;2;E-commerce;Pago
PRG-202604-027;07/04/2026;Varejo Total S.A.;PragmaCloud Pro;Software;4;450,00;145,63;6;E-commerce;Pendente
PRG-202604-028;02/04/2026;Varejo Total S.A.;PragmaCloud Pro;Software;4;450,00;156,85;1;Venda Direta;Pago
PRG-202604-029;18/04/2026;Global Alimentos S.A.;PragmaAnalytics Enterprise;Software;4;1250,00;374,68;6;Venda Direta;Pendente
PRG-202604-030;03/04/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;1;890,00;227,53;12;Venda Direta;Cancelado
PRG-202604-031;30/04/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;4;1250,00;398,85;2;E-commerce;Pendente
PRG-202604-032;06/04/2026;Nova Era Digital;PragmaCloud Pro;Software;4;450,00;142,96;6;E-commerce;Pago
