ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202612-001;21/12/2026;Varejo Total S.A.;PragmaCloud Pro;Software;3;450,00;142,35;2;Parceiros B2B;Pago
PRG-202612-002;24/12/2026;Rede de Farmácias Viva;PragmaCloud Pro;Software;5;450,00;147,66;1;Venda Directa;Pago
PRG-202612-003;17/12/2026;Meta Metais;PragmaCloud Pro;Software;5;450,00;140,97;12;E-commerce;Pago
PRG-202612-004;19/12/2026;Banco Inova S.A.;PragmaCloud Pro;Software;2;450,00;155,94;3;E-commerce;Pago
PRG-202612-005;31/12/2026;Construtora Horizonte;PragmaCloud Pro;Software;1;450,00;146,40;3;E-commerce;Pago
PRG-202612-006;26/12/2026;Indústrias Alfa Ltda;Suporte Técnico Premium;Serviço;1;400,00;131,35;6;Venda Directa;Pago
PRG-202612-007;27/12/2026;Meta Metais;Consultoria de Processos TI;Serviço;1;3200,00;1457,28;1;Parceiros B2B;Pago
PRG-202612-008;10/12/2026;Varejo Total S.A.;PragmaAnalytics Enterprise;Software;1;1250,00;390,41;6;Parceiros B2B;Pendente
PRG-202612-009;06/12/2026;Construtora Horizonte;Consultoria de Processos TI;Serviço;1;3200,00;1447,65;1;Parceiros B2B;Pago
PRG-202612-010;18/12/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;4;1250,00;390,36;12;Venda Directa;Pago
PRG-202612-011;27/12/2026;Indústrias Alfa Ltda;PragmaAnalytics Enterprise;Software;1;1250,00;424,40;6;E-commerce;Pago
PRG-202612-012;30/12/2026;Meta Metais;Consultoria de Processos TI;Serviço;1;3200,00;1443,52;6;Parceiros B2B;Pago
PRG-202612-013;09/12/2026;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;5;1250,00;403,12;12;E-commerce;Pendente
PRG-202612-014;13/12/2026;Construtora Horizonte;PragmaAnalytics Enterprise;Software;2;1250,00;400,76;1;Venda Directa;Pendente
PRG-202612-015;05/12/2026;Tech Soluções Globais;Suporte Técnico Premium;Serviço;1;400,00;117,23;12;E-commerce;Pago
PRG-202612-016;18/12/2026;Indústrias Alfa Ltda;PragmaCloud Pro;Software;5;450,00;157,53;3;Venda Directa;Pago
PRG-202612-017;06/12/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;3;450,00;164,16;2;Parceiros B2B;Pendente
PRG-202612-018;28/12/2026;Banco Inova S.A.;PragmaSecurity Gateway;Software;5;890,00;234,95;3;Venda Directa;Pago
PRG-202612-019;25/12/2026;Rede de Farmácias Viva;PragmaCloud Pro;Software;5;450,00;144,72;1;Venda Directa;Pendente
PRG-202612-020;29/12/2026;Banco Inova S.A.;PragmaAnalytics Enterprise;Software;1;1250,00;379,27;12;Venda Directa;Pago
PRG-202612-021;16/12/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;2;890,00;231,42;6;Parceiros B2B;Pago
PRG-202612-022;17/12/2026;Meta Metais;Suporte Técnico Premium;Serviço;1;400,00;130,29;2;Parceiros B2B;Pago
PRG-202612-023;22/12/2026;Construtora Horizonte;Suporte Técnico Premium;Serviço;2;400,00;110,90;2;Venda Directa;Pago
PRG-202612-024;19/12/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;5;1250,00;377,62;1;Parceiros B2B;Pago
PRG-202612-025;08/12/2026;Varejo Total S.A.;PragmaCloud Pro;Software;3;450,00;137,13;2;E-commerce;Pago
PRG-202612-026;07/12/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;5;1250,00;406,10;2;E-commerce;Pago
PRG-202612-027;07/12/2026;Varejo Total S.A.;PragmaCloud Pro;Software;4;450,00;145,63;6;E-commerce;Pendente
PRG-202612-028;02/12/2026;Varejo Total S.A.;PragmaCloud Pro;Software;4;450,00;156,85;1;Venda Directa;Pago
PRG-202612-029;18/12/2026;Global Alimentos S.A.;PragmaAnalytics Enterprise;Software;4;1250,00;374,68;6;Venda Directa;Pendente
PRG-202612-030;03/12/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;1;890,00;227,53;12;Venda Directa;Cancelado
PRG-202612-031;30/12/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;4;1250,00;398,85;2;E-commerce;Pendente
PRG-202612-032;06/12/2026;Nova Era Digital;PragmaCloud Pro;Software;4;450,00;142,96;6;E-commerce;Pago
PRG-202612-033;31/12/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;1;400,00;112,56;2;Venda Directa;Pago
PRG-202612-034;18/12/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;1;3200,00;1274,04;6;Parceiros B2B;Pendente
PRG-202612-035;17/12/2026;Tech Soluções Globais;PragmaCloud Pro;Software;5;450,00;137,40;2;Venda Directa;Pago
PRG-202612-036;22/12/2026;Logística Express Brasil;Suporte Técnico Premium;Serviço;1;400,00;130,60;12;Venda Directa;Pago
PRG-202612-037;02/12/2026;Meta Metais;PragmaCloud Pro;Software;4;450,00;154,72;12;Parceiros B2B;Pago
PRG-202612-038;09/12/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200,00;1334,37;2;Parceiros B2B;Pago
PRG-202612-039;15/12/2026;Construtora Horizonte;PragmaCloud Pro;Software;1;450,00;148,75;12;Venda Directa;Pago
PRG-202612-040;07/12/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;1;3200,00;1521,31;1;Venda Directa;Pago
PRG-202612-041;06/12/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;3;890,00;255,58;12;Venda Directa;Pago
PRG-202612-042;18/12/2026;Banco Inova S.A.;PragmaCloud Pro;Software;2;450,00;142,93;1;Parceiros B2B;Pago
PRG-202612-043;09/12/2026;Banco Inova S.A.;PragmaSecurity Gateway;Software;2;890,00;260,88;2;Parceiros B2B;Pago
PRG-202612-044;09/12/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;2;400,00;129,73;1;Venda Directa;Pago
PRG-202612-045;27/12/2026;Banco Inova S.A.;PragmaCloud Pro;Software;1;450,00;145,01;2;Parceiros B2B;Cancelado
PRG-202612-046;06/12/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;4;890,00;253,05;1;Venda Directa;Pendente
PRG-202612-047;23/12/2026;Tech Soluções Globais;PragmaSecurity Gateway;Software;1;890,00;266,73;12;Parceiros B2B;Pago
PRG-202612-048;05/12/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;2;3200,00;1511,71;1;E-commerce;Pago
PRG-202612-049;08/12/2026;Varejo Total S.A.;Consultoria de Processos TI;Serviço;2;3200,00;1532,67;2;Venda Directa;Pendente
PRG-202612-050;26/12/2026;Tech Soluções Globais;Suporte Técnico Premium;Serviço;1;400,00;112,30;3;E-commerce;Pago
