ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202602-001;16/02/2026;Construtora Horizonte;Consultoria de Processos TI;Serviço;2;3200.0;1783.92;3;Venda Direta;Cancelado
PRG-202602-002;08/02/2026;Meta Metais;Suporte Técnico Premium;Serviço;1;400.0;128.54;6;Venda Direta;Pago
PRG-202602-003;16/02/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400.0;119.89;1;Venda Direta;Pago
PRG-202602-004;19/02/2026;Construtora Horizonte;PragmaCloud Pro;Software;4;450.0;137.99;6;Venda Direta;Pago
PRG-202602-005;14/02/2026;Tech Soluções Globais;PragmaCloud Pro;Software;4;450.0;158.45;3;E-commerce;Pago
PRG-202602-006;13/02/2026;Varejo Total S.A.;Consultoria de Processos TI;Serviço;2;3200.0;1963.49;6;Parceiros B2B;Pago
PRG-202602-007;03/02/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200.0;1888.84;6;Venda Direta;Pago
PRG-202602-008;23/02/2026;Varejo Total S.A.;Suporte Técnico Premium;Serviço;1;400.0;124.66;1;Venda Direta;Pago
PRG-202602-009;02/02/2026;Banco Inova S.A.;Consultoria de Processos TI;Serviço;2;3200.0;1775.05;2;Parceiros B2B;Pago
PRG-202602-010;22/02/2026;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;2;1250.0;366.32;6;Parceiros B2B;Pago
PRG-202602-011;16/02/2026;Meta Metais;PragmaAnalytics Enterprise;Software;2;1250.0;396.89;3;E-commerce;Pago
PRG-202602-012;01/02/2026;Global Alimentos S.A.;Consultoria de Processos TI;Serviço;1;3200.0;1646.59;3;Parceiros B2B;Pago
PRG-202602-013;14/02/2026;Banco Inova S.A.;Suporte Técnico Premium;Serviço;2;400.0;112.78;6;E-commerce;Pago
PRG-202602-014;13/02/2026;Meta Metais;Consultoria de Processos TI;Serviço;2;3200.0;1977.37;3;Venda Direta;Cancelado
PRG-202602-015;22/02/2026;Nova Era Digital;Consultoria de Processos TI;Serviço;1;3200.0;1823.73;1;Parceiros B2B;Pago
PRG-202602-016;27/02/2026;Banco Inova S.A.;PragmaAnalytics Enterprise;Software;5;1250.0;424.15;2;Parceiros B2B;Pago
PRG-202602-017;09/02/2026;Tech Soluções Globais;PragmaCloud Pro;Software;1;450.0;144.27;6;Venda Direta;Pago
PRG-202602-018;24/02/2026;Tech Soluções Globais;PragmaCloud Pro;Software;3;450.0;144.8;6;Venda Direta;Pago
PRG-202602-019;26/02/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;2;3200.0;1918.97;3;E-commerce;Cancelado
PRG-202602-020;10/02/2026;Construtora Horizonte;PragmaCloud Pro;Software;4;450.0;163.89;2;Venda Direta;Pendente
PRG-202602-021;24/02/2026;Nova Era Digital;PragmaSecurity Gateway;Software;3;890.0;229.52;6;Venda Direta;Pago
PRG-202602-022;04/02/2026;Global Alimentos S.A.;Consultoria de Processos TI;Serviço;2;3200.0;1830.44;3;Venda Direta;Pago
PRG-202602-023;16/02/2026;Indústrias Alfa Ltda;PragmaSecurity Gateway;Software;5;890.0;241.4;12;Venda Direta;Pago
PRG-202602-024;21/02/2026;Global Alimentos S.A.;Consultoria de Processos TI;Serviço;2;3200.0;1662.0;1;Venda Direta;Pago
PRG-202602-025;16/02/2026;Varejo Total S.A.;PragmaCloud Pro;Software;2;450.0;161.62;2;E-commerce;Pago
PRG-202602-026;22/02/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;1;400.0;129.25;1;E-commerce;Pago
PRG-202602-027;09/02/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;1;3200.0;1779.62;2;E-commerce;Pago
PRG-202602-028;22/02/2026;Construtora Horizonte;PragmaSecurity Gateway;Software;3;890.0;228.03;3;Venda Direta;Cancelado
PRG-202602-029;28/02/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;2;450.0;154.25;12;Venda Direta;Pago
PRG-202602-030;11/02/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;5;1250.0;376.42;12;Venda Direta;Pago
PRG-202602-031;27/02/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200.0;1903.91;12;Venda Direta;Pago
PRG-202602-032;05/02/2026;Tech Soluções Globais;PragmaSecurity Gateway;Software;3;890.0;264.93;1;Parceiros B2B;Pendente
PRG-202602-033;05/02/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;1;3200.0;1831.99;1;Venda Direta;Pago
PRG-202602-034;05/02/2026;Nova Era Digital;PragmaSecurity Gateway;Software;1;890.0;262.28;6;E-commerce;Pago
PRG-202602-035;17/02/2026;Meta Metais;PragmaCloud Pro;Software;4;450.0;150.12;12;Venda Direta;Pago
PRG-202602-036;28/02/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;2;3200.0;1851.6;1;Venda Direta;Cancelado
PRG-202602-037;28/02/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400.0;119.77;6;Venda Direta;Pendente
PRG-202602-038;11/02/2026;Meta Metais;PragmaAnalytics Enterprise;Software;1;1250.0;370.1;12;Parceiros B2B;Pago
PRG-202602-039;23/02/2026;Construtora Horizonte;Suporte Técnico Premium;Serviço;2;400.0;118.89;12;E-commerce;Pago
PRG-202602-040;23/02/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;2;890.0;246.5;2;E-commerce;Pago
PRG-202602-041;15/02/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400.0;115.5;3;Parceiros B2B;Pago
PRG-202602-042;05/02/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;1;450.0;159.95;1;E-commerce;Pago
PRG-202602-043;24/02/2026;Construtora Horizonte;PragmaAnalytics Enterprise;Software;5;1250.0;364.8;12;Parceiros B2B;Pago
PRG-202602-044;04/02/2026;Nova Era Digital;Consultoria de Processos TI;Serviço;2;3200.0;1932.51;1;E-commerce;Pago
PRG-202602-045;12/02/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;5;890.0;235.64;6;Venda Direta;Pendente
PRG-202602-046;12/02/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;1;3200.0;1894.54;12;Venda Direta;Pago
PRG-202602-047;28/02/2026;Rede de Farmácias Viva;PragmaSecurity Gateway;Software;5;890.0;258.75;12;Venda Direta;Pago
PRG-202602-048;22/02/2026;Banco Inova S.A.;PragmaCloud Pro;Software;2;450.0;143.2;3;E-commerce;Pago
PRG-202602-049;06/02/2026;Tech Soluções Globais;PragmaSecurity Gateway;Software;4;890.0;228.48;1;Venda Direta;Pago
