ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202607-001;29/07/2026;Global Alimentos S.A.;Suporte Técnico Premium;Serviço;1;400,0;126,14;3;E-commerce;Pago
PRG-202607-002;02/07/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;2;890,0;251,76;1;Venda Direta;Pago
PRG-202607-003;27/07/2026;Tech Soluções Globais;PragmaCloud Pro;Software;4;450,0;158,64;2;Parceiros B2B;Cancelado
PRG-202607-004;30/07/2026;Banco Inova S.A.;PragmaCloud Pro;Software;1;450,0;143,95;12;Venda Direta;Pendente
PRG-202607-005;11/07/2026;Banco Inova S.A.;Suporte Técnico Premium;Serviço;2;400,0;129,34;2;Parceiros B2B;Pago
PRG-202607-006;07/07/2026;Varejo Total S.A.;Consultoria de Processos TI;Serviço;1;3200,0;1464,71;3;Parceiros B2B;Pago
PRG-202607-007;24/07/2026;Construtora Horizonte;Consultoria de Processos TI;Serviço;1;3200,0;1309,14;6;E-commerce;Pago
PRG-202607-008;03/07/2026;Nova Era Digital;PragmaCloud Pro;Software;2;450,0;164,45;6;E-commerce;Pendente
PRG-202607-009;01/07/2026;Banco Inova S.A.;Suporte Técnico Premium;Serviço;1;400,0;118,72;3;E-commerce;Pago
PRG-202607-010;24/07/2026;Meta Metais;PragmaCloud Pro;Software;3;450,0;154,61;2;Venda Direta;Pago
PRG-202607-011;15/07/2026;Banco Inova S.A.;PragmaAnalytics Enterprise;Software;4;1250,0;414,89;3;Parceiros B2B;Pago
PRG-202607-012;30/07/2026;Banco Inova S.A.;Consultoria de Processos TI;Serviço;1;3200,0;1321,36;2;E-commerce;Pago
PRG-202607-013;24/07/2026;Meta Metais;Consultoria de Processos TI;Serviço;2;3200,0;1456,54;6;Parceiros B2B;Pago
PRG-202607-014;27/07/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;5;1250,0;429,85;1;Parceiros B2B;Pago
PRG-202607-015;23/07/2026;Construtora Horizonte;PragmaCloud Pro;Software;5;450,0;138,37;12;Parceiros B2B;Pago
PRG-202607-016;18/07/2026;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;3;1250,0;428,36;6;Venda Direta;Pago
PRG-202607-017;23/07/2026;Meta Metais;Suporte Técnico Premium;Serviço;1;400,0;129,57;6;Venda Direta;Pago
PRG-202607-018;17/07/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400,0;121,41;3;Parceiros B2B;Pago
PRG-202607-019;09/07/2026;Indústrias Alfa Ltda;PragmaAnalytics Enterprise;Software;5;1250,0;365,84;6;E-commerce;Pago
PRG-202607-020;18/07/2026;Indústrias Alfa Ltda;PragmaCloud Pro;Software;4;450,0;135,95;6;Venda Direta;Pago
PRG-202607-021;25/07/2026;Nova Era Digital;Consultoria de Processos TI;Serviço;2;3200,0;1385,59;6;E-commerce;Pago
PRG-202607-022;31/07/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;3;1250,0;369,49;12;E-commerce;Pago
PRG-202607-023;24/07/2026;Logística Express Brasil;PragmaCloud Pro;Software;1;450,0;164,35;6;Parceiros B2B;Pago
