ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202606-001;22/06/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;1;400,0;129,25;1;E-commerce;Pago
PRG-202606-002;09/06/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;1;3200,0;1384,15;2;E-commerce;Pago
PRG-202606-003;22/06/2026;Construtora Horizonte;PragmaSecurity Gateway;Software;3;890,0;228,03;3;Venda Direta;Cancelado
PRG-202606-004;28/06/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;2;450,0;154,25;12;Venda Direta;Pago
PRG-202606-005;11/06/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;5;1250,0;376,42;12;Venda Direta;Pago
PRG-202606-006;27/06/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200,0;1480,82;12;Venda Direta;Pago
PRG-202606-007;05/06/2026;Tech Soluções Globais;PragmaSecurity Gateway;Software;3;890,0;264,93;1;Parceiros B2B;Pendente
PRG-202606-008;05/06/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;1;3200,0;1424,88;1;Venda Direta;Pago
PRG-202606-009;05/06/2026;Nova Era Digital;PragmaSecurity Gateway;Software;1;890,0;262,28;6;E-commerce;Pago
PRG-202606-010;17/06/2026;Meta Metais;PragmaCloud Pro;Software;4;450,0;150,12;12;Venda Direta;Pago
PRG-202606-011;30/06/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;2;3200,0;1440,14;1;Venda Direta;Cancelado
PRG-202606-012;28/06/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400,0;119,77;6;Venda Direta;Pendente
PRG-202606-013;11/06/2026;Meta Metais;PragmaAnalytics Enterprise;Software;1;1250,0;370,1;12;Parceiros B2B;Pago
PRG-202606-014;23/06/2026;Construtora Horizonte;Suporte Técnico Premium;Serviço;2;400,0;118,89;12;E-commerce;Pago
PRG-202606-015;23/06/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;2;890,0;246,5;2;E-commerce;Pago
PRG-202606-016;15/06/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400,0;115,5;3;Parceiros B2B;Pago
PRG-202606-017;05/06/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;1;450,0;159,95;1;E-commerce;Pago
PRG-202606-018;24/06/2026;Construtora Horizonte;PragmaAnalytics Enterprise;Software;5;1250,0;364,8;12;Parceiros B2B;Pago
PRG-202606-019;04/06/2026;Nova Era Digital;Consultoria de Processos TI;Serviço;2;3200,0;1503,07;1;E-commerce;Pago
PRG-202606-020;12/06/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;5;890,0;235,64;6;Venda Direta;Pendente
PRG-202606-021;12/06/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;1;3200,0;1473,53;12;Venda Direta;Pago
PRG-202606-022;28/06/2026;Rede de Farmácias Viva;PragmaSecurity Gateway;Software;5;890,0;258,75;12;Venda Direta;Pago
PRG-202606-023;22/06/2026;Banco Inova S.A.;PragmaCloud Pro;Software;2;450,0;143,2;3;E-commerce;Pago
PRG-202606-024;06/06/2026;Tech Soluções Globais;PragmaSecurity Gateway;Software;4;890,0;228,48;1;Venda Direta;Pago
PRG-202606-025;07/06/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;2;400,0;116,18;3;E-commerce;Pago
PRG-202606-026;25/06/2026;Meta Metais;PragmaSecurity Gateway;Software;1;890,0;269,17;2;Venda Direta;Pago
PRG-202606-027;02/06/2026;Varejo Total S.A.;Consultoria de Processos TI;Serviço;2;3200,0;1445,34;6;Parceiros B2B;Pago
PRG-202606-028;09/06/2026;Logística Express Brasil;PragmaSecurity Gateway;Software;1;890,0;242,26;1;E-commerce;Pago
PRG-202606-029;19/06/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;3;890,0;227,27;6;Parceiros B2B;Pago
PRG-202606-030;07/06/2026;Banco Inova S.A.;PragmaAnalytics Enterprise;Software;2;1250,0;421,13;3;E-commerce;Pago
PRG-202606-031;16/06/2026;Nova Era Digital;PragmaAnalytics Enterprise;Software;2;1250,0;390,42;2;Parceiros B2B;Pago
PRG-202606-032;22/06/2026;Construtora Horizonte;PragmaCloud Pro;Software;4;450,0;160,85;1;E-commerce;Pago
PRG-202606-033;30/06/2026;Varejo Total S.A.;Consultoria de Processos TI;Serviço;2;3200,0;1420,55;6;E-commerce;Pago
PRG-202606-034;01/06/2026;Construtora Horizonte;PragmaAnalytics Enterprise;Software;5;1250,0;396,81;3;Venda Direta;Pago
