ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202605-001;21/05/2026;Varejo Total S.A.;PragmaCloud Pro;Software;3;450,0;142,35;2;Parceiros B2B;Pago
PRG-202605-002;24/05/2026;Rede de Farmácias Viva;PragmaCloud Pro;Software;5;450,0;147,66;1;Venda Direta;Pago
PRG-202605-003;17/05/2026;Meta Metais;PragmaCloud Pro;Software;5;450,0;140,97;12;E-commerce;Pago
PRG-202605-004;19/05/2026;Banco Inova S.A.;PragmaCloud Pro;Software;2;450,0;155,94;3;E-commerce;Pago
PRG-202605-005;31/05/2026;Construtora Horizonte;PragmaCloud Pro;Software;1;450,0;146,4;3;E-commerce;Pago
PRG-202605-006;26/05/2026;Indústrias Alfa Ltda;Suporte Técnico Premium;Serviço;1;400,0;131,35;6;Venda Direta;Pago
PRG-202605-007;27/05/2026;Meta Metais;Consultoria de Processos TI;Serviço;1;3200,0;1457,28;1;Parceiros B2B;Pago
PRG-202605-008;10/05/2026;Varejo Total S.A.;PragmaAnalytics Enterprise;Software;1;1250,0;390,41;6;Parceiros B2B;Pendente
PRG-202605-009;06/05/2026;Construtora Horizonte;Consultoria de Processos TI;Serviço;1;3200,0;1447,65;1;Parceiros B2B;Pago
PRG-202605-010;18/05/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;4;1250,0;390,36;12;Venda Direta;Pago
PRG-202605-011;27/05/2026;Indústrias Alfa Ltda;PragmaAnalytics Enterprise;Software;1;1250,0;424,4;6;E-commerce;Pago
PRG-202605-012;30/05/2026;Meta Metais;Consultoria de Processos TI;Serviço;1;3200,0;1443,52;6;Parceiros B2B;Pago
PRG-202605-013;09/05/2026;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;5;1250,0;403,12;12;E-commerce;Pendente
PRG-202605-014;13/05/2026;Construtora Horizonte;PragmaAnalytics Enterprise;Software;2;1250,0;400,76;1;Venda Direta;Pendente
PRG-202605-015;05/05/2026;Tech Soluções Globais;Suporte Técnico Premium;Serviço;1;400,0;117,23;12;E-commerce;Pago
PRG-202605-016;18/05/2026;Indústrias Alfa Ltda;PragmaCloud Pro;Software;5;450,0;157,53;3;Venda Direta;Pago
PRG-202605-017;06/05/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;3;450,0;164,16;2;Parceiros B2B;Pendente
PRG-202605-018;28/05/2026;Banco Inova S.A.;PragmaSecurity Gateway;Software;5;890,0;234,95;3;Venda Direta;Pago
PRG-202605-019;25/05/2026;Rede de Farmácias Viva;PragmaCloud Pro;Software;5;450,0;144,72;1;Venda Direta;Pendente
PRG-202605-020;29/05/2026;Banco Inova S.A.;PragmaAnalytics Enterprise;Software;1;1250,0;379,27;12;Venda Direta;Pago
PRG-202605-021;16/05/2026;Varejo Total S.A.;PragmaSecurity Gateway;Software;2;890,0;231,42;6;Parceiros B2B;Pago
PRG-202605-022;17/05/2026;Meta Metais;Suporte Técnico Premium;Serviço;1;400,0;130,29;2;Parceiros B2B;Pago
PRG-202605-023;22/05/2026;Construtora Horizonte;Suporte Técnico Premium;Serviço;2;400,0;110,9;2;Venda Direta;Pago
PRG-202605-024;19/05/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;5;1250,0;377,62;1;Parceiros B2B;Pago
PRG-202605-025;08/05/2026;Varejo Total S.A.;PragmaCloud Pro;Software;3;450,0;137,13;2;E-commerce;Pago
PRG-202605-026;07/05/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;5;1250,0;406,1;2;E-commerce;Pago
PRG-202605-027;07/05/2026;Varejo Total S.A.;PragmaCloud Pro;Software;4;450,0;145,63;6;E-commerce;Pendente
PRG-202605-028;02/05/2026;Varejo Total S.A.;PragmaCloud Pro;Software;4;450,0;156,85;1;Venda Direta;Pago
PRG-202605-029;18/05/2026;Global Alimentos S.A.;PragmaAnalytics Enterprise;Software;4;1250,0;374,68;6;Venda Direta;Pendente
PRG-202605-030;03/05/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;1;890,0;227,53;12;Venda Direta;Cancelado
PRG-202605-031;30/05/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;4;1250,0;398,85;2;E-commerce;Pendente
PRG-202605-032;06/05/2026;Nova Era Digital;PragmaCloud Pro;Software;4;450,0;142,96;6;E-commerce;Pago
PRG-202605-033;31/05/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;1;400,0;112,56;2;Venda Direta;Pago
PRG-202605-034;18/05/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;1;3200,0;1274,04;6;Parceiros B2B;Pendente
PRG-202605-035;17/05/2026;Tech Soluções Globais;PragmaCloud Pro;Software;5;450,0;137,4;2;Venda Direta;Pago
PRG-202605-036;22/05/2026;Logística Express Brasil;Suporte Técnico Premium;Serviço;1;400,0;130,6;12;Venda Direta;Pago
PRG-202605-037;02/05/2026;Meta Metais;PragmaCloud Pro;Software;4;450,0;154,72;12;Parceiros B2B;Pago
PRG-202605-038;09/05/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200,0;1334,37;2;Parceiros B2B;Pago
PRG-202605-039;15/05/2026;Construtora Horizonte;PragmaCloud Pro;Software;1;450,0;148,75;12;Venda Direta;Pago
PRG-202605-040;07/05/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;1;3200,0;1521,31;1;Venda Direta;Pago
PRG-202605-041;06/05/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;3;890,0;255,58;12;Venda Direta;Pago
PRG-202605-042;18/05/2026;Banco Inova S.A.;PragmaCloud Pro;Software;2;450,0;142,93;1;Parceiros B2B;Pago
PRG-202605-043;09/05/2026;Banco Inova S.A.;PragmaSecurity Gateway;Software;2;890,0;260,88;2;Parceiros B2B;Pago
PRG-202605-044;09/05/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;2;400,0;129,73;1;Venda Direta;Pago
PRG-202605-045;27/05/2026;Banco Inova S.A.;PragmaCloud Pro;Software;1;450,0;145,01;2;Parceiros B2B;Cancelado
PRG-202605-046;06/05/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;4;890,0;253,05;1;Venda Direta;Pendente
PRG-202605-047;23/05/2026;Tech Soluções Globais;PragmaSecurity Gateway;Software;1;890,0;266,73;12;Parceiros B2B;Pago
PRG-202605-048;05/05/2026;Indústrias Alfa Ltda;Consultoria de Processos TI;Serviço;2;3200,0;1511,71;1;E-commerce;Pago
PRG-202605-049;08/05/2026;Varejo Total S.A.;Consultoria de Processos TI;Serviço;2;3200,0;1532,67;2;Venda Direta;Pendente
PRG-202605-050;26/05/2026;Tech Soluções Globais;Suporte Técnico Premium;Serviço;1;400,0;112,3;3;E-commerce;Pago
PRG-202605-051;28/05/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200,0;1480,46;1;E-commerce;Pendente
PRG-202605-052;28/05/2026;Global Alimentos S.A.;PragmaAnalytics Enterprise;Software;2;1250,0;425,33;6;E-commerce;Pago
PRG-202605-053;26/05/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;1;1250,0;412,8;6;E-commerce;Pago
PRG-202605-054;03/05/2026;Banco Inova S.A.;Consultoria de Processos TI;Serviço;2;3200,0;1450,27;12;E-commerce;Pendente
PRG-202605-055;04/05/2026;Banco Inova S.A.;PragmaAnalytics Enterprise;Software;5;1250,0;437,0;3;Venda Direta;Pago
PRG-202605-056;14/05/2026;Construtora Horizonte;Consultoria de Processos TI;Serviço;2;3200,0;1429,74;12;Venda Direta;Pago
PRG-202605-057;19/05/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200,0;1458,46;1;Parceiros B2B;Pendente
PRG-202605-058;18/05/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;2;3200,0;1279,59;3;Parceiros B2B;Pago
PRG-202605-059;28/05/2026;Varejo Total S.A.;Consultoria de Processos TI;Serviço;2;3200,0;1446,73;3;E-commerce;Pago
PRG-202605-060;18/05/2026;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;4;1250,0;413,19;6;Parceiros B2B;Pago
PRG-202605-061;06/05/2026;Meta Metais;PragmaSecurity Gateway;Software;3;890,0;245,3;1;E-commerce;Pago
PRG-202605-062;14/05/2026;Meta Metais;PragmaSecurity Gateway;Software;3;890,0;248,25;6;Parceiros B2B;Pago
PRG-202605-063;16/05/2026;Tech Soluções Globais;PragmaCloud Pro;Software;3;450,0;150,46;12;E-commerce;Pago
PRG-202605-064;31/05/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;1;3200,0;1485,84;2;Venda Direta;Pago
PRG-202605-065;16/05/2026;Meta Metais;PragmaCloud Pro;Software;4;450,0;147,43;12;Venda Direta;Pago
PRG-202605-066;13/05/2026;Global Alimentos S.A.;Suporte Técnico Premium;Serviço;1;400,0;111,54;1;Venda Direta;Pago
PRG-202605-067;08/05/2026;Tech Soluções Globais;PragmaSecurity Gateway;Software;4;890,0;227,51;2;Venda Direta;Pago
PRG-202605-068;26/05/2026;Global Alimentos S.A.;PragmaSecurity Gateway;Software;5;890,0;254,77;6;Parceiros B2B;Pago
PRG-202605-069;29/05/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;2;400,0;129,53;6;E-commerce;Pago
PRG-202605-070;08/05/2026;Banco Inova S.A.;PragmaSecurity Gateway;Software;4;890,0;256,34;3;E-commerce;Pago
PRG-202605-071;10/05/2026;Logística Express Brasil;Consultoria de Processos TI;Serviço;2;3200,0;1349,52;12;Venda Direta;Pago
PRG-202605-072;08/05/2026;Nova Era Digital;PragmaAnalytics Enterprise;Software;2;1250,0;365,14;6;E-commerce;Pago
PRG-202605-073;14/05/2026;Indústrias Alfa Ltda;PragmaAnalytics Enterprise;Software;4;1250,0;391,16;12;Parceiros B2B;Pago
PRG-202605-074;29/05/2026;Meta Metais;Suporte Técnico Premium;Serviço;2;400,0;108,14;3;E-commerce;Pago
PRG-202605-075;28/05/2026;Nova Era Digital;PragmaSecurity Gateway;Software;5;890,0;264,99;2;E-commerce;Pago
PRG-202605-076;14/05/2026;Global Alimentos S.A.;PragmaCloud Pro;Software;4;450,0;145,08;6;Parceiros B2B;Pago
