ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202609-001;18/09/2026;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;3;1250,0;428,36;6;Venda Direta;Pago
PRG-202609-002;23/09/2026;Meta Metais;Suporte Técnico Premium;Serviço;1;400,0;129,57;6;Venda Direta;Pago
PRG-202609-003;17/09/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400,0;121,41;3;Parceiros B2B;Pago
PRG-202609-004;09/09/2026;Indústrias Alfa Ltda;PragmaAnalytics Enterprise;Software;5;1250,0;365,84;6;E-commerce;Pago
PRG-202609-005;18/09/2026;Indústrias Alfa Ltda;PragmaCloud Pro;Software;4;450,0;135,95;6;Venda Direta;Pago
PRG-202609-006;25/09/2026;Nova Era Digital;Consultoria de Processos TI;Serviço;2;3200,0;1385,59;6;E-commerce;Pago
PRG-202609-007;22/09/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;3;1250,0;369,49;12;E-commerce;Pago
PRG-202609-008;24/09/2026;Logística Express Brasil;PragmaCloud Pro;Software;1;450,0;164,35;6;Parceiros B2B;Pago
PRG-202609-009;14/09/2026;Rede de Farmácias Viva;Suporte Técnico Premium;Serviço;1;400,0;113,94;3;Venda Direta;Pago
PRG-202609-010;30/09/2026;Varejo Total S.A.;PragmaCloud Pro;Software;4;450,0;153,45;1;Venda Direta;Pago
PRG-202609-011;04/09/2026;Meta Metais;PragmaCloud Pro;Software;4;450,0;152,93;1;Venda Direta;Pago
PRG-202609-012;13/09/2026;Global Alimentos S.A.;PragmaAnalytics Enterprise;Software;5;1250,0;377,38;1;Venda Direta;Pago
PRG-202609-013;10/09/2026;Logística Express Brasil;PragmaSecurity Gateway;Software;3;890,0;253,87;3;Venda Direta;Pago
PRG-202609-014;05/09/2026;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;4;1250,0;384,04;1;Parceiros B2B;Pendente
PRG-202609-015;29/09/2026;Tech Soluções Globais;Suporte Técnico Premium;Serviço;2;400,0;109,13;3;Parceiros B2B;Pago
PRG-202609-016;26/09/2026;Rede de Farmácias Viva;Consultoria de Processos TI;Serviço;2;3200,0;1374,31;3;E-commerce;Pago
PRG-202609-017;18/09/2026;Global Alimentos S.A.;PragmaAnalytics Enterprise;Software;2;1250,0;384,06;2;E-commerce;Pendente
PRG-202609-018;18/09/2026;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400,0;117,32;3;Venda Direta;Pago
PRG-202609-019;03/09/2026;Global Alimentos S.A.;Consultoria de Processos TI;Serviço;1;3200,0;1409,98;2;Venda Direta;Pago
PRG-202609-020;22/09/2026;Meta Metais;PragmaSecurity Gateway;Software;1;890,0;268,68;2;Parceiros B2B;Pago
PRG-202609-021;18/09/2026;Logística Express Brasil;Suporte Técnico Premium;Serviço;1;400,0;128,87;3;E-commerce;Cancelado
PRG-202609-022;01/09/2026;Logística Express Brasil;PragmaAnalytics Enterprise;Software;1;1250,0;419,75;6;Venda Direta;Pago
PRG-202609-023;23/09/2026;Logística Express Brasil;Suporte Técnico Premium;Serviço;1;400,0;121,25;3;E-commerce;Pago
PRG-202609-024;21/09/2026;Construtora Horizonte;Consultoria de Processos TI;Serviço;2;3200,0;1360,7;6;E-commerce;Pago
